{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:01', 'vehicle_id': 'NRA_000000001508_Southbound-1.18789', 'lane_id': '106130759.2098', 'lane_index': 0, 'direction': 'S', 'speed': '102.52', 'distance': '68.94019123246186', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:01', 'vehicle_id': 'NRA_000000001508_Southbound-2.13093', 'lane_id': '106130759.2098', 'lane_index': 1, 'direction': 'S', 'speed': '106.31', 'distance': '80.13293090530057', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:02', 'vehicle_id': 'NRA_000000001508_Southbound-1.18789', 'lane_id': '106130759.2098', 'lane_index': 0, 'direction': 'S', 'speed': '100.2', 'distance': '43.511436150815975', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:03', 'vehicle_id': 'NRA_000000001508_Southbound-2.13093', 'lane_id': '106130759.2098', 'lane_index': 1, 'direction': 'S', 'speed': '107.15', 'distance': '31.784673321247357', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:04', 'vehicle_id': 'NRA_000000001508_Southbound-1.18789', 'lane_id': '106130759.2437', 'lane_index': 0, 'direction': 'Unknown', 'speed': '97.13', 'distance': '35.67389541636919', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:12', 'vehicle_id': 'NRA_000000001508_Southbound-1.18790', 'lane_id': '106130759.2098', 'lane_index': 2, 'direction': 'S', 'speed': '102.61', 'distance': '91.85492045665067', 'vehicle_class': 'passenger', 'route_id': '106130759_to_621521116#0'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:12', 'vehicle_id': 'NRA_000000001508_Southbound-4.23043', 'lane_id': '106130759.2098', 'lane_index': 0, 'direction': 'S', 'speed': '96.95', 'distance': '71.13029655672818', 'vehicle_class': 'passenger', 'route_id': '106130759_to_621521116#0'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:13', 'vehicle_id': 'NRA_000000001508_Southbound-1.18791', 'lane_id': '106130759.2098', 'lane_index': 3, 'direction': 'S', 'speed': '118.46', 'distance': '77.47587657882998', 'vehicle_class': 'passenger', 'route_id': '106130759_to_428960734'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:14', 'vehicle_id': 'NRA_000000001508_Southbound-1.18790', 'lane_id': '106130759.2098', 'lane_index': 1, 'direction': 'S', 'speed': '104.23', 'distance': '41.12131940589392', 'vehicle_class': 'passenger', 'route_id': '106130759_to_621521116#0'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:14', 'vehicle_id': 'NRA_000000001508_Southbound-4.23042', 'lane_id': '106130759.2098', 'lane_index': 0, 'direction': 'S', 'speed': '101.5', 'distance': '97.97365239466893', 'vehicle_class': 'passenger', 'route_id': '106130759_to_621521116#0'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:14', 'vehicle_id': 'NRA_000000001508_Southbound-4.23043', 'lane_id': '106130759.2098', 'lane_index': 0, 'direction': 'S', 'speed': '98.52', 'distance': '29.431824430860498', 'vehicle_class': 'passenger', 'route_id': '106130759_to_621521116#0'}
